model,logo,perturbation,level,correct
gemini,Blue Style,Noise,5,True
gemini,Blue Style,Saturate,5,True
gemini,Capital One,Noise,5,True
gemini,Capital One,Saturate,5,True
gemini,Chase,Noise,5,True
gemini,Chase,Saturate,5,True
gemini,Costco,Noise,5,True
gemini,Costco,Saturate,5,True
gemini,DHL,Noise,5,True
gemini,DHL,Saturate,5,True
gemini,Discover,Noise,5,True
gemini,Discover,Saturate,5,True
gemini,ExxonMobil,Noise,5,True
gemini,ExxonMobil,Saturate,5,True
gemini,Facebook,Noise,5,True
gemini,Facebook,Saturate,5,True
gemini,FedEx,Noise,5,True
gemini,FedEx,Saturate,5,True
gemini,Google,Noise,5,True
gemini,Google,Saturate,5,True
gemini,JPMorganChase,Noise,5,True
gemini,JPMorganChase,Saturate,5,True
gemini,Kroger,Noise,5,True
gemini,Kroger,Saturate,5,True
gemini,Mastercard,Noise,5,True
gemini,Mastercard,Saturate,5,True
gemini,McDonalds,Noise,5,True
gemini,McDonalds,Saturate,5,True
gemini,McKesson,Noise,5,True
gemini,McKesson,Saturate,5,True
gemini,Microsoft,Noise,5,True
gemini,Microsoft,Saturate,5,True
gemini,Nike,Noise,5,True
gemini,Nike,Saturate,5,True
gemini,Nurel Group,Noise,5,True
gemini,Nurel Group,Saturate,5,True
gemini,PAGO,Noise,5,True
gemini,PAGO,Saturate,5,True
gemini,Regions,Noise,5,True
gemini,Regions,Saturate,5,True
gemini,SunTrust,Noise,5,True
gemini,SunTrust,Saturate,5,True
gemini,Target,Noise,5,True
gemini,Target,Saturate,5,True
gemini,UPS,Noise,5,True
gemini,UPS,Saturate,5,True
gemini,VISA,Noise,5,True
gemini,VISA,Saturate,5,True
gemini,WeChat,Noise,5,True
gemini,WeChat,Saturate,5,True
gemini,AT&T,Noise,5,True
gemini,AT&T,Saturate,5,True
gemini,Amazon,Noise,5,True
gemini,Amazon,Saturate,5,True
gemma,AT&T,Noise,1,True
gemma,AT&T,Noise,2,True
gemma,AT&T,Noise,3,True
gemma,AT&T,Noise,4,True
gemma,Amazon,Noise,1,True
gemma,Amazon,Noise,2,True
gemma,Amazon,Noise,3,True
gemma,Amazon,Noise,4,True
gemma,American Express,Noise,1,True
gemma,American Express,Noise,2,True
gemma,American Express,Noise,3,True
gemma,American Express,Noise,4,True
gemma,Apple,Noise,1,True
gemma,Apple,Noise,2,True
gemma,Apple,Noise,3,True
gemma,Apple,Noise,4,True
gemma,Bank of America,Noise,1,True
gemma,Bank of America,Noise,2,True
gemma,Bank of America,Noise,3,True
gemma,Bank of America,Noise,4,True
gemma,Bitcoin,Noise,1,True
gemma,Bitcoin,Noise,2,True
gemma,Bitcoin,Noise,3,True
gemma,Bitcoin,Noise,4,True
gemma,Blue Style,Noise,1,True
